"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"ghost_1789627034199_q2mth","Pro Formula Racing","TOKYO GAME SHOW","—","—","Нет","349,00 TL","30%","244,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627034631_p64p3","Oxide Room 208","TOKYO GAME SHOW","—","—","Нет","1.499,00 TL","50%","749,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627035433_ek9il","Sweet Surrender","TOKYO GAME SHOW","—","—","Нет","1.079,00 TL","40%","647,40 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627035856_mb3ql","Love Too Easily 2: Summer Pocha","TOKYO GAME SHOW","—","—","Нет","849,00 TL","30%","594,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627036317_hp40n","Neptunia ReVerse","TOKYO GAME SHOW","—","—","Нет","1.749,00 TL","65%","612,15 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627036990_iodkc","Samurai Academy: Paws of Fury","TOKYO GAME SHOW","—","—","Нет","1.079,00 TL","35%","701,35 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627037341_8etpa","Streets of Rogue","TOKYO GAME SHOW","—","—","Нет","699,00 TL","75%","174,75 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627037759_8stf4","My Life: Riding Stables 3","TOKYO GAME SHOW","—","—","Нет","1.049,00 TL","40%","629,40 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627038287_8inf2","SAMURAI WARRIORS: Spirit of Sanada","TOKYO GAME SHOW","—","—","Нет","1.749,00 TL","60%","699,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627038939_bumo7","SaGa Emerald Beyond","TOKYO GAME SHOW","—","—","Нет","1.749,00 TL","60%","699,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627039299_eg94s","The Wonderful 101","TOKYO GAME SHOW","—","—","Нет","999,00 TL","55%","449,55 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627039753_xkaj7","Shantae and the Pirate's Curse","TOKYO GAME SHOW","—","—","Нет","849,00 TL","50%","424,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627040291_4agnq","The Inheritance of Crimson Manor","TOKYO GAME SHOW","—","—","Нет","629,00 TL","81%","119,51 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627040659_burc7","Trinity Fusion","TOKYO GAME SHOW","—","—","Нет","849,00 TL","70%","254,70 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627041016_yifbh","Sticky Business","TOKYO GAME SHOW","—","—","Нет","349,00 TL","50%","174,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627041803_mx7fe","Xtreme Drift Racing Simulator","TOKYO GAME SHOW","—","—","Нет","429,00 TL","30%","300,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627042650_p0pcq","Noctuary","TOKYO GAME SHOW","—","—","Нет","879,00 TL","40%","527,40 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627043748_xyiyw","ToeJam & Earl: Back in the Groove!","TOKYO GAME SHOW","—","—","Нет","559,00 TL","35%","363,35 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627044259_g2uw9","RAGER","TOKYO GAME SHOW","—","—","Нет","730,00 TL","25%","547,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627044618_xplbg","Titan Souls","TOKYO GAME SHOW","—","—","Нет","649,00 TL","80%","129,80 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627045107_m54bv","RollerCoaster Legends II: Thor's Hammer","TOKYO GAME SHOW","—","—","Нет","257,00 TL","10%","231,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
