"№","Название","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"269","Plants vs. Zombies: Battle for Neighborville","CUSA10852","PS4","Нет","720,00 TL","60%","288,00 TL","2026-09-29","Plants vs. Zombies: Battle for Neighborville™ Deluxe Edition: 1.080,00 TL; Plants vs. Zombies: Battle for Neighborville™: 720,00 TL; EA SPEED & SEED BUNDLE: 427,12 TL","Нет","Да","EA Access","https://store.playstation.com/en-tr/concept/234658","2019-10-17","Shooter","PEGI_7"
"1136","Formula Legends","PPSA26394","PS5","Нет","849,00 TL","50%","424,50 TL","2026-09-29","Formula Legends – Formula E: 949,00 TL; Formula Legends Deluxe: 1.749,00 TL; Formula Legends: 849,00 TL; Formula Legends – Formula E: 949,00 TL; Formula Legends Deluxe: 1.749,00 TL; Formula Legends: 849,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10012804","2025-09-18","Driving/Racing","PEGI_3"
"1677","Resident Evil 3 Nemesis","PPSA07815","PS4, PS5","Нет","429,00 TL","50%","214,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10005151","2025-08-19","Horror","PEGI_18"
"2018","MXGP 24: The Official Game","PPSA22981","PS5","Нет","2.099,00 TL","75%","524,75 TL","2026-09-29","Standard Edition: 2.099,00 TL; Fox Holeshot Edition: 2.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010833","2024-11-28","Driving/Racing","PEGI_3"
"652","LEGO The Incredibles","CUSA09897","PS4","Нет","2.099,00 TL","91%","188,91 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/229812","2018-06-14","Adventure","PEGI_7"
"sale_1789623884446_101","Tales of Berseria","—","—","Нет","1.749,00 TL","25%","1.311,75 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1863","Bloons TD 6","CUSA29954","PS4","Нет","749,00 TL","30%","524,30 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10000502","2024-07-31","Strategy","PEGI_3"
"sale_1789623884824_103","MOTORSLICE","—","—","Нет","849,00 TL","15%","721,65 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1031","Berserk and the Band of the Hawk","CUSA07406","PS4","Нет","2.099,00 TL","60%","839,60 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/227092","2017-03-24","Action","PEGI_18"
"515","The Evil Within","CUSA00375","PS4","Нет","699,00 TL","75%","174,75 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/204572","2014-12-16","Horror","PEGI_18"
"989","FAIRY TAIL 2","PPSA24062","PS4, PS5","Нет","2.499,00 TL","50%","1.249,50 TL","2026-09-29","FAIRY TAIL 2 (PS4 & PS5): 2.499,00 TL; Digital Deluxe: 2.999,00 TL; Ultimate Edition: 4.599,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011532","2024-12-12","Role Playing Games","PEGI_12"
"740","Moving Out","CUSA17675","PS4","Нет","879,00 TL","80%","175,80 TL","2026-09-29","Moving Out: 879,00 TL; Deluxe Edition: 1.049,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/235065","2020-05-11","Unique","PEGI_3"
"455","Atelier Yumia: The Alchemist of Memories & the Envisioned Land","PPSA25468","PS4, PS5","Нет","2.499,00 TL","50%","1.049,50 TL","2026-09-29","Standard Edition PS4/PS5: 2.499,00 TL; Standard Edition PS4: 2.099,00 TL; Digital Deluxe PS4/PS5: 2.799,00 TL; Digital Deluxe PS4: 2.499,00 TL; Ultimate Edition PS4/PS5: 4.199,00 TL; Ultimate Edition PS4: 3.899,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10012240","2025-03-20","Role Playing Games","PEGI_12"
"455","Atelier Yumia: The Alchemist of Memories & the Envisioned Land","PPSA25468","PS4, PS5","Нет","2.499,00 TL","50%","1.049,50 TL","2026-09-29","Standard Edition PS4/PS5: 2.499,00 TL; Standard Edition PS4: 2.099,00 TL; Digital Deluxe PS4/PS5: 2.799,00 TL; Digital Deluxe PS4: 2.499,00 TL; Ultimate Edition PS4/PS5: 4.199,00 TL; Ultimate Edition PS4: 3.899,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10012240","2025-03-20","Role Playing Games","PEGI_12"
"618","Goat Simulator","CUSA02779","PS4","Нет","349,00 TL","75%","209,75 TL","2026-09-29","Goat Simulator: The GOATY: 839,00 TL; Goat Simulator: 349,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/201723","2015-08-11","Simulation","PEGI_12"
"618","Goat Simulator","CUSA02779","PS4","Нет","349,00 TL","75%","209,75 TL","2026-09-29","Goat Simulator: The GOATY: 839,00 TL; Goat Simulator: 349,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/201723","2015-08-11","Simulation","PEGI_12"
"2347","TT Isle Of Man: Ride on the Edge 3","PPSA08810","PS4, PS5","Нет","2.099,00 TL","80%","419,80 TL","2026-09-29","TT Isle Of Man 3 - Racing Fan Edition: 2.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10005573","2023-05-11","Driving/Racing","PEGI_3"
"1383","TUNIC","PPSA03055","PS4, PS5","Нет","1.299,00 TL","50%","649,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10002475","2022-09-27","Action","PEGI_7"
"736","Evil West","PPSA02371","PS4, PS5","Нет","2.799,00 TL","75%","699,75 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10001902","2022-11-21","Shooter","PEGI_18"
"7567","inKONBINI: One Store. Many Stories","PPSA24262","PS4, PS5","Нет","1.079,00 TL","20%","863,20 TL","2026-09-29","Digital Deluxe Edition: 1.160,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10011644","2026-04-30","Casual","PEGI_3"
"1037","MARVEL vs. CAPCOM Fighting Collection: Arcade Classics","CUSA46747","PS4","Нет","1.749,00 TL","60%","699,60 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10009938","2024-09-11","Action","PEGI_16"
"1010","Smalland: Survive the Wilds","PPSA17372","PS5","Нет","1.199,00 TL","80%","239,80 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10008767","2024-02-15","Adventure","PEGI_12"
"505","Metro 2033 Redux","CUSA00591","PS4","Нет","699,00 TL","85%","104,85 TL","2026-09-29","","Да","Да","","https://store.playstation.com/en-tr/concept/202807","2015-06-01","Shooter","PEGI_18"
"369","Far Cry 4","CUSA00462","PS4","Нет","1.399,00 TL","75%","537,25 TL","2026-09-29","Gold Edition: 1.749,00 TL; FAR CRY 4 + FAR CRY PRIMAL BUNDLE: 2.149,00 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/201624","2014-11-17","Shooter","PEGI_18"
"5954","Dead Rising Deluxe Remaster","PPSA18301","PS5","Нет","2.149,00 TL","50%","1.074,50 TL","2026-09-29","Standard: 2.149,00 TL; Digital Deluxe: 2.099,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10009074","2024-09-18","Action","PEGI_18"
"4951","Beyond Good & Evil 20th","PPSA08706","PS4, PS5","Нет","699,00 TL","40%","419,40 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10004727","2024-06-24","Adventure","PEGI_12"
"1543","Doki Doki Literature Club Plus!","PPSA03733","PS4, PS5","Нет","537,00 TL","33%","359,79 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10002895","2021-06-30","Adventure","PEGI_18"
"708","Dishonored","CUSA02230","PS4","Нет","699,00 TL","75%","174,75 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/228538","2015-08-26","Action","PEGI_18"
"1263","South Park: The Stick of Truth","CUSA04695","PS4","Нет","1.399,00 TL","75%","349,75 TL","2026-09-29","","Нет","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/204162","2018-02-12","Role Playing Games","PEGI_18"
"1204","The Jackbox Party Pack 3","CUSA06236","PS4","Нет","945,00 TL","45%","519,75 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/222886","2016-10-18","Party","PEGI_12"
"sale_1789623886268_126","Wreckfest: Drive Hard. Die Last.","—","—","Нет","1.049,00 TL","65%","367,15 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1147","Generation Zero","CUSA14212","PS4","Нет","1.049,00 TL","80%","209,80 TL","2026-09-29","Generation Zero® - Ultimate Bundle: 3.149,00 TL; Generation Zero® - Story Bundle: 1.229,00 TL; Generation Zero®: 1.049,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/231068","2019-03-25","Action","PEGI_12"
"327","Far Cry 5","CUSA05847","PS4","Нет","344,85 TL","85%","117,30 TL","2026-09-29","Far Cry® 5 Gold Edition: 584,85 TL","Нет","Нет","PS Plus Extra","https://store.playstation.com/en-tr/concept/221692","2018-03-26","Action","PEGI_18"
"327","Far Cry 5","CUSA05847","PS4","Нет","344,85 TL","85%","117,30 TL","2026-09-29","Far Cry® 5 Gold Edition: 584,85 TL","Нет","Нет","PS Plus Extra","https://store.playstation.com/en-tr/concept/221692","2018-03-26","Action","PEGI_18"
"714","Like a Dragon: Ishin!","PPSA06455","PS4, PS5","Нет","3.149,00 TL","80%","629,80 TL","2026-09-29","Standard: 3.149,00 TL; Digital Deluxe: 779,80 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10004480","2023-02-21","Action","PEGI_18"
"1173","Tetris Effect: Connected","PPSA07959","PS5","Нет","1.399,00 TL","50%","699,50 TL","2026-09-29","Tetris® Effect: Connected: 1.399,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/232708","2023-02-21","Puzzle","PEGI_3"
"781","Trepang2","PPSA15349","PS5","Нет","1.199,00 TL","75%","299,75 TL","2026-09-29","Trepang2: 1.199,00 TL; Digital Deluxe Edition: 179,75 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10007968","2023-10-01","Shooter","PEGI_18"
"2059","Killing Floor 3","PPSA08427","PS5","Нет","1.749,00 TL","50%","874,50 TL","2026-09-29","Killing Floor 3: 1.749,00 TL; Deluxe Edition: 2.579,00 TL; Elite Nightfall Edition: 3.449,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10005321","2025-07-24","Shooter","PEGI_18"
"851","Aliens: Fireteam Elite","PPSA03544","PS4, PS5","Нет","1.049,00 TL","75%","262,25 TL","2026-09-29","Standard: 1.049,00 TL; Ultimate Edition: 2.099,00 TL; Into The Hive Edition: 349,75 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10002794","2021-08-23","Action","PEGI_16"
"1161","STAR OCEAN THE SECOND STORY R","PPSA13716","PS4, PS5","Нет","499,00 TL","50%","249,50 TL","2026-09-29","STAR OCEAN THE SECOND STORY R - PS4 & PS5: 499,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10007308","2023-11-01","Role Playing Games","PEGI_12"
"sale_1789623887312_137","The Jackbox Party Pack 9","—","—","Нет","1.049,00 TL","35%","681,85 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1138","Sherlock Holmes The Awakened","PPSA08069","PS4, PS5","Нет","1.399,00 TL","90%","139,90 TL","2026-09-29","Standard Edition PS5 & PS4: 1.399,00 TL; Sherlock Holmes: The Darkest Mysteries Bundle: 1.399,00 TL; Deluxe Edition PS5 & PS4: 1.749,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10005262","2023-04-11","Horror","PEGI_16"
"1163","PROJECT ZERO: MAIDEN OF BLACK WATER","PPSA04333","PS4, PS5","Нет","1.399,00 TL","30%","979,30 TL","2026-09-29","Standard Edition: 1.399,00 TL; Digital Deluxe Edition: 1.925,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10003261","2021-10-27","Horror","PEGI_18"
"730","Nioh 2 Remastered – The","PPSA02486","PS4, PS5","Нет","459,00 TL","50%","699,50 TL","2026-09-29","Nioh 2: 1.399,00 TL; The Complete Edition: 459,00 TL; The Nioh Collection: 619,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/234389","2021-02-04","Unique","PEGI_18"
"2054","13 Sentinels: Aegis Rim","CUSA19620","PS4","Нет","456,61 TL","75%","114,15 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/233095","2020-09-21","Adventure","PEGI_12"
"2751","Gravity Rush","CUSA01113","PS4","Нет","1.299,00 TL","50%","649,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/226357","2016-02-02","Action","PEGI_12"
"sale_1789623887964_143","Wolfenstein II: The New Colossus Deluxe Edition (CUSA07378)","—","—","Нет","2.099,00 TL","85%","314,85 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1556","MY HERO ONE'S JUSTICE 2","CUSA16171","PS4","Нет","1.749,00 TL","75%","437,25 TL","2026-09-29","Ultimate Edition: 3.449,00 TL; MY HERO ONE'S JUSTICE 2 Deluxe Edition: 2.099,00 TL; MY HERO ONE'S JUSTICE 2: 1.749,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/234276","2020-04-16","Fighting","PEGI_12"
"2056","Asterigos: Curse of the Stars","PPSA08194","PS4, PS5","Нет","1.229,00 TL","75%","307,25 TL","2026-09-29","Deluxe Edition: 1.575,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10005233","2022-10-07","Role Playing Games","PEGI_12"
"739","Tales of Gracesf","PPSA19990","PS4, PS5","Нет","1.399,00 TL","65%","489,65 TL","2026-09-29","Standard Edition: 1.399,00 TL; Deluxe Edition: 2.099,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10009737","2025-01-16","Role Playing Games","PEGI_12"
"1107","PROJECT ZERO: Mask of the Lunar Eclipse","PPSA10278","PS4, PS5","Нет","1.749,00 TL","40%","1.049,40 TL","2026-09-29","Standard Edition: 1.749,00 TL; Digital Deluxe Edition: 2.275,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10006174","2023-03-08","Horror","PEGI_16"
"3285","Rugby 22","PPSA04069","PS5","Нет","849,00 TL","75%","212,25 TL","2026-09-29","Rugby 22: 849,00 TL; Rugby 22: 849,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10003098","2022-01-27","Sport","PEGI_3"
"2504","Tennis World Tour 2","PPSA02019","PS5","Нет","1.749,00 TL","85%","262,35 TL","2026-09-29","Ace Edition: 1.749,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10001023","2021-03-25","Sport","PEGI_3"
"1309","Portal Knights","CUSA06287","PS4","Нет","699,00 TL","70%","209,70 TL","2026-09-29","Portal Knights - Legendary Edition: 629,40 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/224933","2017-06-04","Role Playing Games","PEGI_7"
"1690","Journey To The Savage Planet: Employee Of The Month","PPSA10022","PS4, PS5","Нет","1.049,00 TL","80%","209,80 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/233179","2023-02-14","Action","PEGI_12"
"sale_1789623888584_152","TRIANGLE STRATEGY","—","—","Нет","2.579,00 TL","30%","1.805,30 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1267","Spiritfarer","CUSA20160","PS4","Нет","875,00 TL","85%","131,25 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10000752","2020-08-17","Action","PEGI_12"
"1054","Haven","PPSA01562","PS4, PS5","Нет","875,00 TL","60%","350,00 TL","2026-09-29","Haven: 875,00 TL; Haven - Deluxe Edition: 378,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10000983","2020-12-03","Role Playing Games","PEGI_12"
"1132","Ghostwire: Tokyo","PPSA03397","PS5","Нет","609,00 TL","75%","152,25 TL","2026-09-29","Standard Edition: 609,00 TL; Deluxe Edition: 3.149,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10000301","2022-03-24","Adventure","PEGI_12"
"1123","The Jackbox Party Pack 7","PPSA05036","PS4, PS5","Нет","1.049,00 TL","35%","681,85 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10000457","2021-11-24","Casual","PEGI_12"
"2245","Digimon World: Next Order","CUSA05392","PS4","Нет","2.099,00 TL","84%","335,84 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/207297","2017-01-26","Adventure","PEGI_7"
"907","Ghostrunner","PPSA03685","PS4, PS5","Нет","1.049,00 TL","75%","262,25 TL","2026-09-29","Ghostrunner: Complete Edition: 1.399,00 TL; Ghostrunner: 1.049,00 TL; Ghostrunner: 1.049,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10001291","2021-09-28","Action","PEGI_18"
"2231","We Were Here Too","PPSA31080","PS4, PS5","Нет","429,00 TL","70%","128,70 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10001636","2025-10-06","Unique","PEGI_3"
"1127","NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst","CUSA07161","PS4","Нет","699,00 TL","50%","349,50 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/227172","2017-08-24","Fighting","PEGI_12"
"2017","Enter the Gungeon","CUSA01659","PS4","Нет","649,00 TL","80%","129,80 TL","2026-09-29","Enter x Exit the Gungeon: 174,75 TL; Enter the Gungeon: 649,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/216187","2016-04-04","Action","PEGI_12"
"1179","Shop & Stuff: Supermarket Simulator","PPSA34617","PS5","Нет","601,00 TL","50%","300,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017733","2026-03-27","Casual","PEGI_12"
"5297","Capcom Fighting Collection 2","CUSA44576","PS4","Нет","1.749,00 TL","35%","1.136,85 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10008958","2025-05-15","Fighting","PEGI_16"
"1368","Architect Life: A House Design Simulator","PPSA22273","PS5","Нет","1.749,00 TL","60%","699,60 TL","2026-09-29","Standard Edition: 1.749,00 TL; Life Sim: 4.299,00 TL; Home Deluxe Edition: 2.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010668","2025-06-19","Simulation","PEGI_3"
"1513","Angry Birds VR: Isle of Pigs","PPSA17162","PS5","Нет","699,00 TL","20%","559,20 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008009","2023-10-10","Casual","PEGI_3"
"5953","DEAD RISING 2","CUSA04672","PS4","Нет","699,00 TL","75%","174,75 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/201112","2016-09-12","Action","PEGI_18"
"sale_1789623889540_168","The Wandering Village","—","—","Нет","1.049,00 TL","30%","734,30 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"2045","Vanquish","CUSA16161","PS4","Нет","1.229,00 TL","75%","307,25 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/235236","2020-02-17","Action","PEGI_18"
"2356","NARUTO: Ultimate Ninja STORM","CUSA07160","PS4","Нет","699,00 TL","50%","349,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/203150","2017-08-24","Fighting","PEGI_12"
"835","Prey","CUSA06559","PS4","Нет","1.049,00 TL","80%","279,80 TL","2026-09-29","Deluxe Edition: 1.399,00 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/224929","2017-05-04","Shooter","PEGI_18"
"2062","SOULCALIBUR Ⅵ","CUSA09884","PS4","Нет","2.499,00 TL","84%","559,84 TL","2026-09-29","SOULCALIBUR Ⅵ Deluxe Edition: 3.499,00 TL; SOULCALIBUR Ⅵ: 2.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/230019","2018-10-18","Fighting","PEGI_16"
"4936","Bendy and the Dark Revival","CUSA38355","PS4","Нет","849,00 TL","70%","254,70 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10006221","2023-02-28","Horror","PEGI_16"
"1951","MotoGP22","PPSA05760","PS4, PS5","Нет","1.299,00 TL","85%","194,85 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10004098","2022-04-20","Driving/Racing","PEGI_3"
"1760","Hollowbody","PPSA29912","PS5","Нет","687,00 TL","25%","515,25 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10015028","2026-06-05","Horror","PEGI_16"
"2693","FINAL FANTASY TYPE-0 HD","CUSA00937","PS4","Нет","699,00 TL","70%","209,70 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/221517","2015-05-20","Role Playing Games","PEGI_16"
"2175","Potion Craft: Alchemist Simulator","PPSA09609","PS4, PS5","Нет","699,00 TL","65%","244,65 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10005918","2023-12-12","Casual","PEGI_3"
"2123","SpeedRunners","CUSA05560","PS4","Нет","349,00 TL","75%","87,25 TL","2026-09-29","Deluxe Edition: 595,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/221759","2017-07-04","Action","PEGI_7"
"5962","Death Howl","PPSA30896","PS5","Нет","849,00 TL","30%","594,30 TL","2026-09-29","Standard Edition: 849,00 TL; Deluxe Edition: 670,15 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10015602","2026-02-19","Strategy","PEGI_12"
"2543","Handball 21","CUSA15460","PS4","Нет","699,00 TL","75%","174,75 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/233683","2020-11-12","Unique","PEGI_3"
"6363","Easy Delivery Co.","PPSA34058","PS5","Нет","549,00 TL","25%","411,75 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10017365","2026-03-26","Driving/Racing","PEGI_3"
"1009","Miasma Chronicles","PPSA06217","PS5","Нет","1.199,00 TL","70%","359,70 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10004322","2023-05-23","Strategy","PEGI_16"
"sale_1789623890667_183","Survival: Fountain of Youth","—","—","Нет","1.049,00 TL","40%","629,40 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"928","LEGO Star Wars: The Force Awakens","CUSA03397","PS4","Да","209,90 TL","91%","224,91 TL","2026-09-29","LEGO® Star Wars™: The Force Awakens Deluxe Edition: 2.499,00 TL; LEGO® Star Wars™: The Force Awakens: 209,90 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/202448","2016-06-27","Action","PEGI_7"
"594","Remnant: From the Ashes","CUSA13830","PS4","Нет","1.749,00 TL","70%","524,70 TL","2026-09-29","Remnant: From the Ashes – Complete Edition: 2.149,00 TL; Remnant: From the Ashes: 1.749,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/231129","2019-12-18","Adventure","PEGI_16"
"4903","Beastro","PPSA34498","PS5","Нет","849,00 TL","25%","636,75 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017655","2026-06-11","Role Playing Games","PEGI_7"
"sale_1789623891125_187","WRATH: Aeon of Ruin VR","—","—","Нет","730,00 TL","10%","657,00 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1840","Car Driving School Simulator","PPSA31093","PS5","Нет","515,00 TL","30%","360,50 TL","2026-09-29","Car Driving School Simulator: 515,00 TL; Car Driving School Simulator: 515,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10015684","2025-12-12","Driving/Racing","PEGI_7"
"1017","Homefront: The Revolution","CUSA00938","PS4","Нет","699,00 TL","90%","69,90 TL","2026-09-29","Homefront®: The Revolution 'Freedom Fighter' Bundle: 139,90 TL","Да","Да","","https://store.playstation.com/en-tr/concept/202024","2016-05-19","Shooter","PEGI_18"
"6976","Ghosts 'n Goblins Resurrection","CUSA24163","PS4","Нет","1.049,00 TL","67%","346,17 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10001057","2021-05-31","Action","PEGI_12"
"7717","OKAMI HD","CUSA08364","PS4","Нет","699,00 TL","50%","349,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/216640","2017-12-11","Adventure","PEGI_12"
"1654","STRIDE: Fates","PPSA21353","PS5","Нет","1.049,00 TL","45%","576,95 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10010312","2024-05-16","Adventure","PEGI_18"
"1694","ONE PUNCH MAN: A HERO NOBODY KNOWS","CUSA16264","PS4","Нет","2.499,00 TL","90%","249,90 TL","2026-09-29","ONE PUNCH MAN: A HERO NOBODY KNOWS Deluxe Edition: 2.999,00 TL; ONE PUNCH MAN: A HERO NOBODY KNOWS: 2.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/234384","2020-02-27","Action","PEGI_12"
"1566","Chorus","PPSA01592","PS4, PS5","Нет","879,00 TL","80%","175,80 TL","2026-09-29","Chorus: 879,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10000793","2021-12-02","Unique","PEGI_12"
"1006","NEO: The World Ends with You","CUSA26377","PS4","Нет","2.099,00 TL","70%","629,70 TL","2026-09-29","NEO: The World Ends with You: 2.099,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10001982","2021-07-26","Action","PEGI_12"
"2108","One Piece: Unlimited World Red","CUSA08306","PS4","Нет","1.399,00 TL","88%","167,88 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/229543","2017-08-24","Action","PEGI_12"
"2144","DOOM 3","CUSA16295","PS4","Нет","349,00 TL","60%","139,60 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/234453","2019-07-25","Shooter","PEGI_18"
"6489","Eternal Strands","PPSA22684","PS5","Нет","1.299,00 TL","70%","389,70 TL","2026-09-29","Eternal Strands: 1.299,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10010810","2025-01-28","Adventure","PEGI_12"
"7772","KILL IT WITH FIRE! 2","PPSA15735","PS5","Нет","649,00 TL","50%","324,50 TL","2026-09-29","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008124","2025-11-25","Horror","PEGI_7"
"sale_1789623892314_200","RAIDOU Remastered: The Mystery of the Soulless Army","—","—","Нет","2.149,00 TL","45%","1.181,95 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"sale_1789623892650_201","The Legend of Heroes: Trails into Reverie","—","—","Нет","2.579,00 TL","50%","1.289,50 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1733","Saints Row: Gat out of Hell","CUSA00939","PS4","Нет","699,00 TL","85%","104,85 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/213748","2015-01-22","Action","PEGI_16"
"sale_1789623893043_203","Tales from the Borderlands","—","—","Нет","699,00 TL","25%","524,25 TL","2026-09-29","","Нет","Нет","","#","—","—","—"
"1899","Police Car Simulator : EVO","PPSA36581","PS5","Нет","649,00 TL","67%","214,17 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10015761","2026-05-06","Simulator","PEGI_7"
"2690","Scars Above","PPSA08597","PS4, PS5","Нет","1.049,00 TL","80%","209,80 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10005258","2023-02-27","Shooter","PEGI_12"
"4169","Amnesia: Collection","CUSA05457","PS4","Нет","999,00 TL","80%","199,80 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/221671","2016-11-21","Action","PEGI_16"
"2145","Heretic + Hexen","PPSA26525","PS4, PS5","Нет","529,00 TL","33%","354,43 TL","2026-09-29","","Нет","Да","","https://store.playstation.com/en-tr/concept/10012903","2025-08-07","Action","PEGI_16"
