id,gameId,name,publisher,platforms,preorder,price0,edition_prices,edition_names,hasRusVoice,hasRusText,subscriptions,url,releaseDate,genre,pegi,content,isDemo,imageCount
11,PPSA07950,"Call of Duty®: Modern Warfare® 4","Activision Blizzard Int'l BV","PS5",Да,3.199,00 TL,"MW4 Standard: 3.199,00 TL; Call of Duty®: Warzone™: Free; MW4 Vault: 4.399,00 TL; BO7 Vault: 4.399,00 TL; BO7 Cross-Gen: 3.199,00 TL; MWIII Cross-Gen: 2.519,99 TL; MWII Cross-Gen: 2.519,99 TL; BO6 Cross-Gen: 2.799,00 TL","MW4 Standard; Call of Duty®: Warzone™; MW4 Vault; BO7 Vault; BO7 Cross-Gen; MWIII Cross-Gen; MWII Cross-Gen; BO6 Cross-Gen",Нет,Нет,"",https://store.playstation.com/en-tr/concept/10001130,2026-10-22,"Action",PEGI_18,"Modern Warfare® 4 for PS5®; Open Beta Early Access; Campaign Early Access; Instant Grat Items for BO7/WZ; Hostile Alliance Operator Pack; Special Forces Operator Pack; Signature Weapon Collection; BlackCell (1 Season); Black Ops 7 for PS5®/PS4™; Operator Collection; Mastercraft Collection; Permanent Unlock Token; Ultra GobbleGum Pack; Weapon Camo; Modern Warfare® III for PS4™/PS5®; Modern Warfare® II for PS4™/PS5™; Black Ops 6 for PS4™/PS5®",—,18
12,PPSA08338,"Marvel’s Spider-Man 2","Sony Interactive Entertainment","PS5",Нет,2.799,00 TL,"Standard Edition: Included; Digital Deluxe Edition: 3.849,00 TL","Standard Edition; Digital Deluxe Edition",Да,Да,"PS Plus Extra",https://store.playstation.com/en-tr/concept/10002456,2023-10-19,"Action",PEGI_16,"Marvel’s Spider-Man 2; Five unique suits for Peter.; Five unique suits for Miles.; Additional Photo Mode items.; 5 Skill Points.; Early Unlock Suits and Gadget",—,11
13,PPSA14299,"Mafia: The Old Country","2K","PS5",Нет,1.949,00 TL,"Mafia: The Old Country: Game Trial; Definitive Edition: 1.547,40 TL; The Omertà Collection: 2.149,50 TL","Mafia: The Old Country; Definitive Edition; The Omertà Collection",Да,Да,"",https://store.playstation.com/en-tr/concept/10007134,2025-08-07,"Action",PEGI_18,"Mafia: The Old Country PS5®; Man of Honor; Padrino Pack; Soldato Pack; Gatto Nero Pack; Soundtrack and Digital Artbook; Mafia: The Old Country; Mafia: Definitive Edition for PS5®; Mafia: Definitive Edition for PS4®; Mafia II: Definitive Edition; Mafia III: Definitive Edition",—,16
14,PPSA20711,"VALORANT","RIOT GAMES","PS5",Нет,Free,"","",Да,Да,"",https://store.playstation.com/en-tr/concept/10010048,2024-08-02,"Shooter",PEGI_16,"Стандартное издание",—,13
15,PPSA21567,"ASTRO BOT","Sony Interactive Entertainment","PS5",Нет,2.999,00 TL,"Standard Edition: 2.999,00 TL; Digital Deluxe Edition: 3.449,00 TL","Standard Edition; Digital Deluxe Edition",Нет,Да,"",https://store.playstation.com/en-tr/concept/10002684,2024-09-05,"Action",PEGI_7,"ASTRO BOT; ASTRO’s Yharnam Hunter outift*; ASTRO’s Golden Outfit*; Neon Dream Dual Speeder colour*; Champions’ Gold Dual Speeder colour*; 10 PSN Avatars; Digital Soundtrack & Art Gallery; *Game progression required to unlock.",—,16
16,PPSA23566,"UFC® 6","EA Swiss Sarl","PS5",Нет,3.999,00 TL,"Standard Edition: 3.999,00 TL; Ultimate Edition: 4.674,15 TL","Standard Edition; Ultimate Edition",Нет,Нет,"EA Access",https://store.playstation.com/en-tr/concept/10011247,2026-06-19,"Sport",PEGI_16,"UFC® 6 PS5; Fighter Pass: UFC Legends; Expansion Pass; VIP Pass; Rivalry Bundle",—,13
17,PPSA11386,"007 First Light","IO Interactive A/S","PS5",Нет,2.999,00 TL,"007 First Light: 2.999,00 TL; Deluxe Edition: 3.449,00 TL","007 First Light; Deluxe Edition",Нет,Да,"",https://store.playstation.com/en-tr/concept/10006560,2026-05-26,"Adventure",PEGI_16,"007 First Light; 4 Exclusive Outfits; Gleaming Pack; 1 Weapon Skin",—,17
18,PPSA02343,"It Takes Two PS4™ & PS5™","EA Swiss Sarl","PS4, PS5",Нет,1.499,99 TL,"It Takes Two PS4™ & PS5™: 1.499,99 TL; It Takes Two - Friend's Pass PS5™: Free; Hazelight Bundle: 2.200,00 TL; It Takes Two - Friend's Pass PS4™: Free","It Takes Two PS4™ & PS5™; It Takes Two - Friend's Pass PS5™; Hazelight Bundle; It Takes Two - Friend's Pass PS4™",Нет,Да,"EA Access",https://store.playstation.com/en-tr/concept/234689,2021-03-25,"Unique",PEGI_12,"Стандартное издание",—,15
19,PPSA35889,"NBA 2K27","2K","PS5",Да,3.999,00 TL,"Standard Edition: 3.999,00 TL; Deluxe Edition: 5.499,00 TL; Ultra Edition: 7.999,00 TL","Standard Edition; Deluxe Edition; Ultra Edition",Нет,Нет,"",https://store.playstation.com/en-tr/concept/10018502,2026-09-03,"Sport",PEGI_16,"NBA 2K27; Pre-Order Content; 100,000 VC; MyTEAM Content; MyCAREER Content; 135,000 VC; Season 1 Pro Pass; Summer Pass: Season 7-9 Pro Passes",—,15
20,PPSA28183,"Assassin's Creed Black Flag Resynced","Ubisoft","PS5",Нет,2.579,00 TL,"Standard Edition: 2.579,00 TL; Deluxe Edition: 2.999,00 TL","Standard Edition; Deluxe Edition",Нет,Да,"",https://store.playstation.com/en-tr/concept/10013987,2026-07-08,"Adventure",PEGI_18,"Assassin's Creed Black Flag Resynced; Master Assassin Character Pack; Master Assassin Naval Pack",—,18
